,slug,date,season,opponent,goals_for,goals_against,goals,assists,minutes,yellow_cards,red_cards,position
0,ol-reign-vs-racing-louisville-fc-2022-05-08,2022-05-08,2022,LOU,2,2,0,2,90,0,0,LB
1,portland-thorns-fc-vs-ol-reign-2022-05-13,2022-05-13,2022,POR,0,0,0,2,90,0,0,LB
2,ol-reign-vs-washington-spirit-2022-05-22,2022-05-22,2022,WAS,0,0,0,3,90,0,0,LB
3,ol-reign-vs-kansas-city-current-2022-05-25,2022-05-25,2022,KCC,1,0,0,0,90,0,0,LB
4,chicago-red-stars-vs-ol-reign-2022-06-04,2022-06-04,2022,CHI,0,1,0,0,80,0,0,LB
5,san-diego-wave-fc-vs-ol-reign-2022-06-12,2022-06-12,2022,SD,1,1,0,0,90,0,0,LB
6,ol-reign-vs-angel-city-fc-2022-06-18,2022-06-18,2022,LA,1,0,0,1,90,0,0,LB
7,ol-reign-vs-north-carolina-courage-2022-07-01,2022-07-01,2022,NC,2,0,0,1,90,0,0,LB
8,ol-reign-vs-portland-thorns-fc-2022-07-10,2022-07-10,2022,POR,2,2,0,0,90,0,0,LB
9,kansas-city-current-vs-ol-reign-2022-07-17,2022-07-17,2022,KCC,0,1,0,2,90,0,0,LB
10,angel-city-fc-vs-ol-reign-2022-07-30,2022-07-30,2022,LA,3,2,0,0,90,0,0,LB
11,racing-louisville-fc-vs-ol-reign-2022-08-02,2022-08-02,2022,LOU,1,1,0,2,90,0,0,LB
12,ol-reign-vs-houston-dash-2022-08-07,2022-08-07,2022,HOU,1,2,0,0,90,1,0,LCB
13,ol-reign-vs-nj-ny-gotham-fc-2022-08-14,2022-08-14,2022,NJY,4,1,0,0,90,1,0,LB
14,orlando-pride-vs-ol-reign-2022-08-26,2022-08-26,2022,ORL,2,1,0,1,90,0,0,LB
15,ol-reign-vs-chicago-red-stars-2022-09-09,2022-09-09,2022,CHI,2,2,0,0,45,0,0,LB
16,nj-ny-gotham-fc-vs-ol-reign-2022-09-21,2022-09-21,2022,NJY,1,0,0,1,85,0,0,LB
17,houston-dash-vs-ol-reign-2022-09-24,2022-09-24,2022,HOU,2,0,0,0,65,0,0,LB
18,ol-reign-vs-orlando-pride-2022-10-01,2022-10-01,2022,ORL,3,0,0,0,60,0,0,LB
