kickoff,season,home_team,away_team,home_team_score,away_team_score,home_penalty_score,away_penalty_score,is_playoff
2014-06-15 19:00:00,2014,POR,WAS,2,0,0,0,False
2014-06-18 19:00:00,2014,WNY,CHI,2,0,0,0,False
2014-06-19 19:00:00,2014,BOS,RGN,0,2,0,0,False
2014-06-21 19:00:00,2014,WAS,POR,1,6,0,0,False
2014-06-22 19:00:00,2014,NJY,BOS,1,1,0,0,False
2014-06-22 19:00:00,2014,WNY,RGN,1,2,0,0,False
2014-06-21 19:00:00,2014,KC,CHI,1,0,0,0,False
2014-06-25 19:00:00,2014,POR,NJY,1,2,0,0,False
2014-06-27 19:00:00,2014,WNY,BOS,2,1,0,0,False
2014-06-28 19:00:00,2014,RGN,NJY,0,0,0,0,False
2014-06-28 19:00:00,2014,HOU,WAS,0,1,0,0,False
2014-06-28 19:00:00,2014,KC,POR,1,0,0,0,False
2014-07-02 19:00:00,2014,WAS,BOS,3,3,0,0,False
2014-07-02 19:00:00,2014,WNY,RGN,1,2,0,0,False
2014-07-04 19:00:00,2014,POR,CHI,2,2,0,0,False
2014-07-05 19:00:00,2014,HOU,WNY,1,4,0,0,False
2014-07-06 19:00:00,2014,NJY,KC,0,5,0,0,False
2014-07-06 19:00:00,2014,RGN,BOS,3,2,0,0,False
2014-07-09 19:00:00,2014,CHI,POR,1,1,0,0,False
2014-07-11 19:00:00,2014,HOU,BOS,2,1,0,0,False
2014-07-12 19:00:00,2014,WNY,WAS,0,1,0,0,False
2014-07-12 19:00:00,2014,CHI,RGN,1,0,0,0,False
2014-07-13 19:00:00,2014,POR,KC,7,1,0,0,False
2014-07-17 19:00:00,2014,CHI,POR,1,1,0,0,False
2014-07-18 19:00:00,2014,WNY,KC,1,1,0,0,False
2014-07-17 19:00:00,2014,HOU,WAS,1,1,0,0,False
2014-07-20 19:00:00,2014,NJY,WAS,4,2,0,0,False
2014-07-20 19:00:00,2014,RGN,CHI,1,1,0,0,False
2014-07-20 19:00:00,2014,POR,BOS,6,3,0,0,False
2014-07-23 19:00:00,2014,WAS,POR,1,1,0,0,False
2014-07-25 19:00:00,2014,WNY,BOS,2,4,0,0,False
2014-07-26 19:00:00,2014,CHI,HOU,0,0,0,0,False
2014-07-27 19:00:00,2014,RGN,POR,5,0,0,0,False
2014-07-27 19:00:00,2014,KC,NJY,2,1,0,0,False
2014-07-30 19:00:00,2014,WAS,KC,2,1,0,0,False
2014-07-31 19:00:00,2014,NJY,WNY,1,0,0,0,False
2014-07-30 19:00:00,2014,HOU,RGN,1,4,0,0,False
2014-08-02 19:00:00,2014,WAS,CHI,2,1,0,0,False
2014-08-02 19:00:00,2014,KC,RGN,1,1,0,0,False
2014-08-03 19:00:00,2014,BOS,WNY,3,4,0,0,False
2014-08-03 19:00:00,2014,POR,HOU,1,0,0,0,False
2014-08-06 19:00:00,2014,RGN,HOU,4,1,0,0,False
2014-08-06 19:00:00,2014,KC,BOS,2,1,0,0,False
2014-08-09 19:00:00,2014,CHI,KC,2,1,0,0,False
2014-08-10 19:00:00,2014,BOS,POR,2,0,0,0,False
2014-08-09 19:00:00,2014,HOU,NJY,1,3,0,0,False
2014-08-09 19:00:00,2014,RGN,WAS,1,1,0,0,False
2014-08-13 19:00:00,2014,WNY,NJY,2,3,0,0,False
2014-08-13 19:00:00,2014,CHI,BOS,2,0,0,0,False
2014-08-16 19:00:00,2014,WAS,NJY,0,1,0,0,False
2014-08-17 19:00:00,2014,BOS,HOU,1,0,0,0,False
2014-08-16 19:00:00,2014,CHI,WNY,3,3,0,0,False
2014-08-17 19:00:00,2014,POR,RGN,1,0,0,0,False
2014-08-20 19:00:00,2014,NJY,HOU,1,0,0,0,False
2014-08-23 19:00:00,2014,KC,POR,2,0,0,0,True
2014-08-24 19:00:00,2014,RGN,WAS,2,1,0,0,True
2014-08-31 19:00:00,2014,RGN,KC,1,2,0,0,True
2015-04-10 19:00:00,2015,HOU,WAS,2,0,0,0,False
2015-04-11 19:00:00,2015,POR,BOS,4,1,0,0,False
2015-04-12 19:00:00,2015,RGN,WNY,5,1,0,0,False
2015-04-12 19:00:00,2015,KC,NJY,0,1,0,0,False
2015-04-18 19:00:00,2015,WAS,KC,3,1,0,0,False
2015-04-18 19:00:00,2015,NJY,HOU,1,1,0,0,False
2015-04-18 19:00:00,2015,POR,WNY,1,0,0,0,False
2015-04-18 19:00:00,2015,CHI,RGN,3,2,0,0,False
2015-04-23 19:00:00,2015,KC,RGN,1,0,0,0,False
2015-04-26 19:00:00,2015,NJY,WAS,1,3,0,0,False
2015-04-25 19:00:00,2015,CHI,POR,2,2,0,0,False
2015-04-26 19:00:00,2015,BOS,HOU,3,2,0,0,False
2015-05-02 19:00:00,2015,WNY,BOS,3,1,0,0,False
2015-05-02 19:00:00,2015,CHI,NJY,1,0,0,0,False
2015-05-02 19:00:00,2015,RGN,WAS,3,1,0,0,False
2015-05-02 19:00:00,2015,HOU,KC,0,2,0,0,False
2015-05-08 19:00:00,2015,WNY,KC,0,1,0,0,False
2015-05-09 19:00:00,2015,NJY,RGN,1,1,0,0,False
2015-05-09 19:00:00,2015,POR,WAS,2,2,0,0,False
2015-05-09 19:00:00,2015,CHI,BOS,3,0,0,0,False
2015-05-14 19:00:00,2015,KC,WNY,0,0,0,0,False
2015-05-16 19:00:00,2015,WAS,NJY,1,0,0,0,False
2015-05-15 19:00:00,2015,HOU,CHI,2,2,0,0,False
2015-05-16 19:00:00,2015,BOS,POR,1,0,0,0,False
2015-05-22 19:00:00,2015,BOS,NJY,1,1,0,0,False
2015-05-23 19:00:00,2015,WNY,WAS,3,2,0,0,False
2015-05-23 19:00:00,2015,POR,HOU,0,1,0,0,False
2015-05-23 19:00:00,2015,KC,CHI,1,2,0,0,False
2015-05-30 19:00:00,2015,WAS,POR,2,1,0,0,False
2015-05-30 19:00:00,2015,BOS,KC,1,0,0,0,False
2015-05-31 19:00:00,2015,NJY,HOU,1,1,0,0,False
2015-05-30 19:00:00,2015,RGN,CHI,0,0,0,0,False
2015-06-06 19:00:00,2015,WNY,CHI,3,1,0,0,False
2015-06-06 19:00:00,2015,WAS,BOS,1,1,0,0,False
2015-06-06 19:00:00,2015,RGN,NJY,3,0,0,0,False
2015-06-06 19:00:00,2015,HOU,POR,0,0,0,0,False
2015-06-19 19:00:00,2015,POR,KC,1,1,0,0,False
2015-06-20 19:00:00,2015,HOU,WNY,2,0,0,0,False
2015-06-21 19:00:00,2015,BOS,RGN,2,3,0,0,False
2015-06-27 19:00:00,2015,WAS,HOU,1,0,0,0,False
2015-06-28 19:00:00,2015,NJY,CHI,0,3,0,0,False
2015-06-27 19:00:00,2015,RGN,KC,2,1,0,0,False
2015-06-28 19:00:00,2015,BOS,WNY,0,2,0,0,False
