RGN-WAS,LOU-ORL,POR-NJY,NC-SD,KCC-CHI,HOU-LA,clinched,eliminated
"(1, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)",,
"(1, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 1)",,
"(1, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 1)","(1, 0)",,
"(1, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 1)","(0, 0)",,
"(1, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 1)","(0, 1)",,
"(1, 0)","(1, 0)","(0, 1)","(0, 1)","(1, 0)","(1, 0)",,
"(1, 0)","(1, 0)","(0, 1)","(0, 1)","(1, 0)","(0, 0)",,
"(1, 0)","(1, 0)","(0, 1)","(0, 1)","(1, 0)","(0, 1)",,
"(1, 0)","(1, 0)","(0, 1)","(0, 1)","(0, 0)","(1, 0)",,
"(1, 0)","(1, 0)","(0, 1)","(0, 1)","(0, 0)","(0, 0)",,
"(1, 0)","(1, 0)","(0, 1)","(0, 1)","(0, 0)","(0, 1)",,
"(1, 0)","(1, 0)","(0, 1)","(0, 1)","(0, 1)","(1, 0)",,
"(1, 0)","(1, 0)","(0, 1)","(0, 1)","(0, 1)","(0, 0)",,
"(1, 0)","(1, 0)","(0, 1)","(0, 1)","(0, 1)","(0, 1)",,
"(1, 0)","(0, 0)","(1, 0)","(1, 0)","(1, 0)","(1, 0)",,
"(1, 0)","(0, 0)","(1, 0)","(1, 0)","(1, 0)","(0, 0)",,
"(1, 0)","(0, 0)","(1, 0)","(1, 0)","(1, 0)","(0, 1)",,
"(1, 0)","(0, 0)","(1, 0)","(1, 0)","(0, 0)","(1, 0)",,
"(1, 0)","(0, 0)","(1, 0)","(1, 0)","(0, 0)","(0, 0)",,
"(1, 0)","(0, 0)","(1, 0)","(1, 0)","(0, 0)","(0, 1)",,
"(1, 0)","(0, 0)","(1, 0)","(1, 0)","(0, 1)","(1, 0)",,
"(1, 0)","(0, 0)","(1, 0)","(1, 0)","(0, 1)","(0, 0)",,
"(1, 0)","(0, 0)","(1, 0)","(1, 0)","(0, 1)","(0, 1)",,
"(1, 0)","(0, 0)","(1, 0)","(0, 0)","(1, 0)","(1, 0)",,
"(1, 0)","(0, 0)","(1, 0)","(0, 0)","(1, 0)","(0, 0)",,
"(1, 0)","(0, 0)","(1, 0)","(0, 0)","(1, 0)","(0, 1)",,
"(1, 0)","(0, 0)","(1, 0)","(0, 0)","(0, 0)","(1, 0)",,
"(1, 0)","(0, 0)","(1, 0)","(0, 0)","(0, 0)","(0, 0)",,
"(1, 0)","(0, 0)","(1, 0)","(0, 0)","(0, 0)","(0, 1)",,
"(1, 0)","(0, 0)","(1, 0)","(0, 0)","(0, 1)","(1, 0)",,
"(1, 0)","(0, 0)","(1, 0)","(0, 0)","(0, 1)","(0, 0)",,
"(1, 0)","(0, 0)","(1, 0)","(0, 0)","(0, 1)","(0, 1)",,
"(1, 0)","(0, 0)","(1, 0)","(0, 1)","(1, 0)","(1, 0)",,
"(1, 0)","(0, 0)","(1, 0)","(0, 1)","(1, 0)","(0, 0)",,
"(1, 0)","(0, 0)","(1, 0)","(0, 1)","(1, 0)","(0, 1)",,
"(1, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(1, 0)",,
"(1, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)",,
"(1, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 1)",,
"(1, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 1)","(1, 0)",,
"(1, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 1)","(0, 0)",,
"(1, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 1)","(0, 1)",,
"(1, 0)","(0, 0)","(0, 0)","(1, 0)","(1, 0)","(1, 0)",,
"(1, 0)","(0, 0)","(0, 0)","(1, 0)","(1, 0)","(0, 0)",,
"(1, 0)","(0, 0)","(0, 0)","(1, 0)","(1, 0)","(0, 1)",,
"(1, 0)","(0, 0)","(0, 0)","(1, 0)","(0, 0)","(1, 0)",,
"(1, 0)","(0, 0)","(0, 0)","(1, 0)","(0, 0)","(0, 0)",,
"(1, 0)","(0, 0)","(0, 0)","(1, 0)","(0, 0)","(0, 1)",,
"(1, 0)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(1, 0)",,
"(1, 0)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)",,
"(1, 0)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 1)",,
"(1, 0)","(0, 0)","(0, 0)","(0, 0)","(1, 0)","(1, 0)",,
"(1, 0)","(0, 0)","(0, 0)","(0, 0)","(1, 0)","(0, 0)",,
"(1, 0)","(0, 0)","(0, 0)","(0, 0)","(1, 0)","(0, 1)",,
"(1, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(1, 0)",,
"(1, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",,
"(1, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 1)",,
"(1, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)",,
"(1, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)",,
"(1, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 1)",,
"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(1, 0)",,
"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)",,
"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 1)",,
"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(1, 0)",,
"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)",,
"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 1)",,
"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 1)","(1, 0)",,
"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 1)","(0, 0)",,
"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 1)","(0, 1)",,
"(1, 0)","(0, 0)","(0, 1)","(1, 0)","(1, 0)","(1, 0)",,
"(1, 0)","(0, 0)","(0, 1)","(1, 0)","(1, 0)","(0, 0)",,
"(1, 0)","(0, 0)","(0, 1)","(1, 0)","(1, 0)","(0, 1)",,
"(1, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(1, 0)",,
"(1, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)",,
"(1, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 1)",,
"(1, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 1)","(1, 0)",,
"(1, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 1)","(0, 0)",,
"(1, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 1)","(0, 1)",,
"(1, 0)","(0, 0)","(0, 1)","(0, 0)","(1, 0)","(1, 0)",,
"(1, 0)","(0, 0)","(0, 1)","(0, 0)","(1, 0)","(0, 0)",,
"(1, 0)","(0, 0)","(0, 1)","(0, 0)","(1, 0)","(0, 1)",,
"(1, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)",,
"(1, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)",,
"(1, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 1)",,
"(1, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 1)","(1, 0)",,
"(1, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 1)","(0, 0)",,
"(1, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 1)","(0, 1)",,
"(1, 0)","(0, 0)","(0, 1)","(0, 1)","(1, 0)","(1, 0)",,
"(1, 0)","(0, 0)","(0, 1)","(0, 1)","(1, 0)","(0, 0)",,
"(1, 0)","(0, 0)","(0, 1)","(0, 1)","(1, 0)","(0, 1)",,
"(1, 0)","(0, 0)","(0, 1)","(0, 1)","(0, 0)","(1, 0)",,
"(1, 0)","(0, 0)","(0, 1)","(0, 1)","(0, 0)","(0, 0)",,
"(1, 0)","(0, 0)","(0, 1)","(0, 1)","(0, 0)","(0, 1)",,
"(1, 0)","(0, 0)","(0, 1)","(0, 1)","(0, 1)","(1, 0)",,
"(1, 0)","(0, 0)","(0, 1)","(0, 1)","(0, 1)","(0, 0)",,
"(1, 0)","(0, 0)","(0, 1)","(0, 1)","(0, 1)","(0, 1)",,
"(1, 0)","(0, 1)","(1, 0)","(1, 0)","(1, 0)","(1, 0)",,
"(1, 0)","(0, 1)","(1, 0)","(1, 0)","(1, 0)","(0, 0)",,
"(1, 0)","(0, 1)","(1, 0)","(1, 0)","(1, 0)","(0, 1)",,
"(1, 0)","(0, 1)","(1, 0)","(1, 0)","(0, 0)","(1, 0)",,
"(1, 0)","(0, 1)","(1, 0)","(1, 0)","(0, 0)","(0, 0)",,
"(1, 0)","(0, 1)","(1, 0)","(1, 0)","(0, 0)","(0, 1)",,
"(1, 0)","(0, 1)","(1, 0)","(1, 0)","(0, 1)","(1, 0)",,
"(1, 0)","(0, 1)","(1, 0)","(1, 0)","(0, 1)","(0, 0)",,
"(1, 0)","(0, 1)","(1, 0)","(1, 0)","(0, 1)","(0, 1)",,
"(1, 0)","(0, 1)","(1, 0)","(0, 0)","(1, 0)","(1, 0)",,
"(1, 0)","(0, 1)","(1, 0)","(0, 0)","(1, 0)","(0, 0)",,
"(1, 0)","(0, 1)","(1, 0)","(0, 0)","(1, 0)","(0, 1)",,
"(1, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 0)",,
"(1, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 0)",,
"(1, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)",,
"(1, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 1)","(1, 0)",,
"(1, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 1)","(0, 0)",,
"(1, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 1)","(0, 1)",,
"(1, 0)","(0, 1)","(1, 0)","(0, 1)","(1, 0)","(1, 0)",,
"(1, 0)","(0, 1)","(1, 0)","(0, 1)","(1, 0)","(0, 0)",,
"(1, 0)","(0, 1)","(1, 0)","(0, 1)","(1, 0)","(0, 1)",,
"(1, 0)","(0, 1)","(1, 0)","(0, 1)","(0, 0)","(1, 0)",,
"(1, 0)","(0, 1)","(1, 0)","(0, 1)","(0, 0)","(0, 0)",,
"(1, 0)","(0, 1)","(1, 0)","(0, 1)","(0, 0)","(0, 1)",,
"(1, 0)","(0, 1)","(1, 0)","(0, 1)","(0, 1)","(1, 0)",,
"(1, 0)","(0, 1)","(1, 0)","(0, 1)","(0, 1)","(0, 0)",,
"(1, 0)","(0, 1)","(1, 0)","(0, 1)","(0, 1)","(0, 1)",,
"(1, 0)","(0, 1)","(0, 0)","(1, 0)","(1, 0)","(1, 0)",,
"(1, 0)","(0, 1)","(0, 0)","(1, 0)","(1, 0)","(0, 0)",,
"(1, 0)","(0, 1)","(0, 0)","(1, 0)","(1, 0)","(0, 1)",,
"(1, 0)","(0, 1)","(0, 0)","(1, 0)","(0, 0)","(1, 0)",,
"(1, 0)","(0, 1)","(0, 0)","(1, 0)","(0, 0)","(0, 0)",,
"(1, 0)","(0, 1)","(0, 0)","(1, 0)","(0, 0)","(0, 1)",,
"(1, 0)","(0, 1)","(0, 0)","(1, 0)","(0, 1)","(1, 0)",,
"(1, 0)","(0, 1)","(0, 0)","(1, 0)","(0, 1)","(0, 0)",,
"(1, 0)","(0, 1)","(0, 0)","(1, 0)","(0, 1)","(0, 1)",,
"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 0)",,
"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 0)",,
"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)",,
"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 0)",,
"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",,
"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)",,
"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 1)","(1, 0)",,
"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 1)","(0, 0)",,
"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 1)","(0, 1)",,
"(1, 0)","(0, 1)","(0, 0)","(0, 1)","(1, 0)","(1, 0)",,
"(1, 0)","(0, 1)","(0, 0)","(0, 1)","(1, 0)","(0, 0)",,
"(1, 0)","(0, 1)","(0, 0)","(0, 1)","(1, 0)","(0, 1)",,
"(1, 0)","(0, 1)","(0, 0)","(0, 1)","(0, 0)","(1, 0)",,
"(1, 0)","(0, 1)","(0, 0)","(0, 1)","(0, 0)","(0, 0)",,
"(1, 0)","(0, 1)","(0, 0)","(0, 1)","(0, 0)","(0, 1)",,
"(1, 0)","(0, 1)","(0, 0)","(0, 1)","(0, 1)","(1, 0)",,
"(1, 0)","(0, 1)","(0, 0)","(0, 1)","(0, 1)","(0, 0)",,
"(1, 0)","(0, 1)","(0, 0)","(0, 1)","(0, 1)","(0, 1)",,
"(1, 0)","(0, 1)","(0, 1)","(1, 0)","(1, 0)","(1, 0)",,
"(1, 0)","(0, 1)","(0, 1)","(1, 0)","(1, 0)","(0, 0)",,
"(1, 0)","(0, 1)","(0, 1)","(1, 0)","(1, 0)","(0, 1)",,
"(1, 0)","(0, 1)","(0, 1)","(1, 0)","(0, 0)","(1, 0)",,
"(1, 0)","(0, 1)","(0, 1)","(1, 0)","(0, 0)","(0, 0)",,
"(1, 0)","(0, 1)","(0, 1)","(1, 0)","(0, 0)","(0, 1)",,
"(1, 0)","(0, 1)","(0, 1)","(1, 0)","(0, 1)","(1, 0)",,
"(1, 0)","(0, 1)","(0, 1)","(1, 0)","(0, 1)","(0, 0)",,
"(1, 0)","(0, 1)","(0, 1)","(1, 0)","(0, 1)","(0, 1)",,
"(1, 0)","(0, 1)","(0, 1)","(0, 0)","(1, 0)","(1, 0)",,
"(1, 0)","(0, 1)","(0, 1)","(0, 0)","(1, 0)","(0, 0)",,
"(1, 0)","(0, 1)","(0, 1)","(0, 0)","(1, 0)","(0, 1)",,
"(1, 0)","(0, 1)","(0, 1)","(0, 0)","(0, 0)","(1, 0)",,
"(1, 0)","(0, 1)","(0, 1)","(0, 0)","(0, 0)","(0, 0)",,
"(1, 0)","(0, 1)","(0, 1)","(0, 0)","(0, 0)","(0, 1)",,
"(1, 0)","(0, 1)","(0, 1)","(0, 0)","(0, 1)","(1, 0)",,
"(1, 0)","(0, 1)","(0, 1)","(0, 0)","(0, 1)","(0, 0)",,
"(1, 0)","(0, 1)","(0, 1)","(0, 0)","(0, 1)","(0, 1)",,
"(1, 0)","(0, 1)","(0, 1)","(0, 1)","(1, 0)","(1, 0)",,
"(1, 0)","(0, 1)","(0, 1)","(0, 1)","(1, 0)","(0, 0)",,
"(1, 0)","(0, 1)","(0, 1)","(0, 1)","(1, 0)","(0, 1)",,
"(1, 0)","(0, 1)","(0, 1)","(0, 1)","(0, 0)","(1, 0)",,
"(1, 0)","(0, 1)","(0, 1)","(0, 1)","(0, 0)","(0, 0)",,
"(1, 0)","(0, 1)","(0, 1)","(0, 1)","(0, 0)","(0, 1)",,
"(1, 0)","(0, 1)","(0, 1)","(0, 1)","(0, 1)","(1, 0)",,
"(1, 0)","(0, 1)","(0, 1)","(0, 1)","(0, 1)","(0, 0)",,
"(1, 0)","(0, 1)","(0, 1)","(0, 1)","(0, 1)","(0, 1)",,
"(0, 0)","(1, 0)","(1, 0)","(1, 0)","(1, 0)","(1, 0)",,
"(0, 0)","(1, 0)","(1, 0)","(1, 0)","(1, 0)","(0, 0)",,
"(0, 0)","(1, 0)","(1, 0)","(1, 0)","(1, 0)","(0, 1)",,
"(0, 0)","(1, 0)","(1, 0)","(1, 0)","(0, 0)","(1, 0)",,
"(0, 0)","(1, 0)","(1, 0)","(1, 0)","(0, 0)","(0, 0)",,
"(0, 0)","(1, 0)","(1, 0)","(1, 0)","(0, 0)","(0, 1)",,
"(0, 0)","(1, 0)","(1, 0)","(1, 0)","(0, 1)","(1, 0)",,
"(0, 0)","(1, 0)","(1, 0)","(1, 0)","(0, 1)","(0, 0)",,
"(0, 0)","(1, 0)","(1, 0)","(1, 0)","(0, 1)","(0, 1)",,
"(0, 0)","(1, 0)","(1, 0)","(0, 0)","(1, 0)","(1, 0)",,
"(0, 0)","(1, 0)","(1, 0)","(0, 0)","(1, 0)","(0, 0)",,
"(0, 0)","(1, 0)","(1, 0)","(0, 0)","(1, 0)","(0, 1)",,
"(0, 0)","(1, 0)","(1, 0)","(0, 0)","(0, 0)","(1, 0)",,
"(0, 0)","(1, 0)","(1, 0)","(0, 0)","(0, 0)","(0, 0)",,
"(0, 0)","(1, 0)","(1, 0)","(0, 0)","(0, 0)","(0, 1)",,
"(0, 0)","(1, 0)","(1, 0)","(0, 0)","(0, 1)","(1, 0)",,
"(0, 0)","(1, 0)","(1, 0)","(0, 0)","(0, 1)","(0, 0)",,
"(0, 0)","(1, 0)","(1, 0)","(0, 0)","(0, 1)","(0, 1)",,
"(0, 0)","(1, 0)","(1, 0)","(0, 1)","(1, 0)","(1, 0)",,
"(0, 0)","(1, 0)","(1, 0)","(0, 1)","(1, 0)","(0, 0)",,
"(0, 0)","(1, 0)","(1, 0)","(0, 1)","(1, 0)","(0, 1)",,
"(0, 0)","(1, 0)","(1, 0)","(0, 1)","(0, 0)","(1, 0)",,
"(0, 0)","(1, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)",,
"(0, 0)","(1, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 1)",,
"(0, 0)","(1, 0)","(1, 0)","(0, 1)","(0, 1)","(1, 0)",,
"(0, 0)","(1, 0)","(1, 0)","(0, 1)","(0, 1)","(0, 0)",,
"(0, 0)","(1, 0)","(1, 0)","(0, 1)","(0, 1)","(0, 1)",,
"(0, 0)","(1, 0)","(0, 0)","(1, 0)","(1, 0)","(1, 0)",,
"(0, 0)","(1, 0)","(0, 0)","(1, 0)","(1, 0)","(0, 0)",,
"(0, 0)","(1, 0)","(0, 0)","(1, 0)","(1, 0)","(0, 1)",,
"(0, 0)","(1, 0)","(0, 0)","(1, 0)","(0, 0)","(1, 0)",,
"(0, 0)","(1, 0)","(0, 0)","(1, 0)","(0, 0)","(0, 0)",,
"(0, 0)","(1, 0)","(0, 0)","(1, 0)","(0, 0)","(0, 1)",,
"(0, 0)","(1, 0)","(0, 0)","(1, 0)","(0, 1)","(1, 0)",,
"(0, 0)","(1, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)",,
"(0, 0)","(1, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 1)",,
"(0, 0)","(1, 0)","(0, 0)","(0, 0)","(1, 0)","(1, 0)",,
"(0, 0)","(1, 0)","(0, 0)","(0, 0)","(1, 0)","(0, 0)",,
"(0, 0)","(1, 0)","(0, 0)","(0, 0)","(1, 0)","(0, 1)",,
"(0, 0)","(1, 0)","(0, 0)","(0, 0)","(0, 0)","(1, 0)",,
"(0, 0)","(1, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",,
"(0, 0)","(1, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 1)",,
"(0, 0)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)",,
"(0, 0)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)",,
"(0, 0)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 1)",,
"(0, 0)","(1, 0)","(0, 0)","(0, 1)","(1, 0)","(1, 0)",,
"(0, 0)","(1, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)",,
"(0, 0)","(1, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 1)",,
"(0, 0)","(1, 0)","(0, 0)","(0, 1)","(0, 0)","(1, 0)",,
"(0, 0)","(1, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)",,
"(0, 0)","(1, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 1)",,
"(0, 0)","(1, 0)","(0, 0)","(0, 1)","(0, 1)","(1, 0)",,
"(0, 0)","(1, 0)","(0, 0)","(0, 1)","(0, 1)","(0, 0)",,
"(0, 0)","(1, 0)","(0, 0)","(0, 1)","(0, 1)","(0, 1)",,
"(0, 0)","(1, 0)","(0, 1)","(1, 0)","(1, 0)","(1, 0)",,
"(0, 0)","(1, 0)","(0, 1)","(1, 0)","(1, 0)","(0, 0)",,
"(0, 0)","(1, 0)","(0, 1)","(1, 0)","(1, 0)","(0, 1)",,
"(0, 0)","(1, 0)","(0, 1)","(1, 0)","(0, 0)","(1, 0)",,
"(0, 0)","(1, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)",,
"(0, 0)","(1, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 1)",,
